source_id,destination_id,type,ts_start,ts_end,date,tw_id,partition_id,camera_id,location_id,confidence,bbox,description
L002,L001,NEAR_BY,,,,,2,,,,,distance=50
L002,L003,NEAR_BY,,,,,2,,,,,distance=50
V_C003_20260409_070000,V_C003_20260409_070500,NEXT_TO,2026-04-09 07:05:00,2026-04-09 07:05:01,2026-04-09,,2,,,,,
V_C003_20260409_070500,V_C003_20260409_071000,NEXT_TO,2026-04-09 07:10:00,2026-04-09 07:10:01,2026-04-09,,2,,,,,
V_C003_20260409_071000,V_C003_20260409_071500,NEXT_TO,2026-04-09 07:15:00,2026-04-09 07:15:01,2026-04-09,,2,,,,,
V_C003_20260409_071500,V_C003_20260409_072000,NEXT_TO,2026-04-09 07:20:00,2026-04-09 07:20:01,2026-04-09,,2,,,,,
V_C003_20260409_072000,V_C003_20260409_072500,NEXT_TO,2026-04-09 07:25:00,2026-04-09 07:25:01,2026-04-09,,2,,,,,
V_C003_20260409_072500,V_C003_20260409_073000,NEXT_TO,2026-04-09 07:30:00,2026-04-09 07:30:01,2026-04-09,,2,,,,,
V_C003_20260409_073000,V_C003_20260409_073500,NEXT_TO,2026-04-09 07:35:00,2026-04-09 07:35:01,2026-04-09,,2,,,,,
V_C003_20260409_073500,V_C003_20260409_074000,NEXT_TO,2026-04-09 07:40:00,2026-04-09 07:40:01,2026-04-09,,2,,,,,
V_C003_20260409_074000,V_C003_20260409_074500,NEXT_TO,2026-04-09 07:45:00,2026-04-09 07:45:01,2026-04-09,,2,,,,,
V_C003_20260409_074500,V_C003_20260409_075000,NEXT_TO,2026-04-09 07:50:00,2026-04-09 07:50:01,2026-04-09,,2,,,,,
V_C003_20260409_075000,V_C003_20260409_075500,NEXT_TO,2026-04-09 07:55:00,2026-04-09 07:55:01,2026-04-09,,2,,,,,
V_C004_20260409_070000,V_C004_20260409_070500,NEXT_TO,2026-04-09 07:05:00,2026-04-09 07:05:01,2026-04-09,,2,,,,,
