entity_tw_id,ts_start,ts_end,video_id,camera_id,location_id
P20260409_0001_TW2520,2026-04-09 07:00:04,2026-04-09 07:00:09,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2521,2026-04-09 07:00:14,2026-04-09 07:00:15,V_C002_20260409_070000,C002,L001
P20260409_0001_TW2522,2026-04-09 07:00:24,2026-04-09 07:00:27,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2523,2026-04-09 07:00:35,2026-04-09 07:00:36,V_C002_20260409_070000,C002,L001
P20260409_0001_TW2524,2026-04-09 07:00:44,2026-04-09 07:00:48,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2525,2026-04-09 07:00:53,2026-04-09 07:00:56,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2526,2026-04-09 07:01:00,2026-04-09 07:01:05,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2527,2026-04-09 07:01:11,2026-04-09 07:01:19,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2528,2026-04-09 07:01:20,2026-04-09 07:01:22,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2529,2026-04-09 07:01:33,2026-04-09 07:01:37,V_C004_20260409_070000,C004,L002
P20260409_0001_TW2530,2026-04-09 07:01:40,2026-04-09 07:01:41,V_C004_20260409_070000,C004,L002
P20260409_0001_TW2531,2026-04-09 07:01:55,2026-04-09 07:01:58,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2532,2026-04-09 07:02:07,2026-04-09 07:02:08,V_C002_20260409_070000,C002,L001
P20260409_0001_TW2533,2026-04-09 07:02:12,2026-04-09 07:02:20,V_C004_20260409_070000,C004,L002
P20260409_0001_TW2534,2026-04-09 07:02:23,2026-04-09 07:02:30,V_C003_20260409_070000,C003,L002
P20260409_0001_TW2535,2026-04-09 07:02:34,2026-04-09 07:02:40,V_C003_20260409_070000,C003,L002
P20260409_0001_TW2536,2026-04-09 07:02:43,2026-04-09 07:02:48,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2537,2026-04-09 07:02:53,2026-04-09 07:02:55,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2538,2026-04-09 07:03:02,2026-04-09 07:03:04,V_C003_20260409_070000,C003,L002
P20260409_0001_TW2539,2026-04-09 07:03:16,2026-04-09 07:03:17,V_C002_20260409_070000,C002,L001
P20260409_0001_TW2540,2026-04-09 07:03:27,2026-04-09 07:03:30,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2541,2026-04-09 07:03:30,2026-04-09 07:03:36,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2542,2026-04-09 07:03:46,2026-04-09 07:03:50,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2543,2026-04-09 07:03:51,2026-04-09 07:03:59,V_C003_20260409_070000,C003,L002
P20260409_0001_TW2544,2026-04-09 07:04:03,2026-04-09 07:04:06,V_C003_20260409_070000,C003,L002
P20260409_0001_TW2545,2026-04-09 07:04:16,2026-04-09 07:04:18,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2546,2026-04-09 07:04:21,2026-04-09 07:04:29,V_C001_20260409_070000,C001,L001
P20260409_0001_TW2547,2026-04-09 07:04:30,2026-04-09 07:04:38,V_C003_20260409_070000,C003,L002
