tw_id,video_id,entity_tw_id
TW2520,V_C001_20260409_070000,P20260409_0047_TW2520
TW2520,V_C001_20260409_070000,P20260409_0023_TW2520
TW2520,V_C001_20260409_070000,P20260409_0024_TW2520
TW2520,V_C001_20260409_070000,P20260409_0006_TW2520
TW2520,V_C001_20260409_070000,P20260409_0015_TW2520
TW2520,V_C001_20260409_070000,P20260409_0007_TW2520
TW2520,V_C001_20260409_070000,P20260409_0046_TW2520
TW2520,V_C001_20260409_070000,P20260409_0031_TW2520
TW2520,V_C001_20260409_070000,P20260409_0013_TW2520
TW2520,V_C001_20260409_070000,P20260409_0022_TW2520
TW2520,V_C001_20260409_070000,P20260409_0014_TW2520
TW2520,V_C001_20260409_070000,P20260409_0043_TW2520
TW2520,V_C001_20260409_070000,P20260409_0001_TW2520
TW2520,V_C001_20260409_070000,P20260409_0039_TW2520
TW2520,V_C001_20260409_070000,P20260409_0049_TW2520
TW2520,V_C001_20260409_070000,P20260409_0050_TW2520
TW2520,V_C001_20260409_070000,P20260409_0008_TW2520
TW2520,V_C001_20260409_070000,P20260409_0025_TW2520
TW2520,V_C001_20260409_070000,P20260409_0042_TW2520
TW2520,V_C001_20260409_070000,P20260409_0016_TW2520
TW2520,V_C001_20260409_070000,P20260409_0029_TW2520
TW2520,V_C001_20260409_070000,T20260409_0013_TW2520
TW2520,V_C001_20260409_070000,T20260409_0015_TW2520
TW2520,V_C001_20260409_070000,T20260409_0020_TW2520
TW2520,V_C001_20260409_070000,T20260409_0003_TW2520
TW2520,V_C001_20260409_070000,T20260409_0006_TW2520
TW2520,V_C001_20260409_070000,T20260409_0017_TW2520
TW2520,V_C001_20260409_070000,T20260409_0019_TW2520
TW2520,V_C001_20260409_070000,T20260409_0001_TW2520
TW2520,V_C001_20260409_070000,T20260409_0014_TW2520
TW2520,V_C001_20260409_070000,T20260409_0010_TW2520
TW2520,V_C001_20260409_070000,T20260409_0008_TW2520
TW2520,V_C001_20260409_070000,T20260409_0012_TW2520
TW2520,V_C001_20260409_070000,T20260409_0011_TW2520
TW2520,V_C001_20260409_070000,T20260409_0016_TW2520
TW2520,V_C001_20260409_070000,T20260409_0009_TW2520
TW2520,V_C001_20260409_070000,VH20260409_0003_TW2520
TW2520,V_C001_20260409_070000,VH20260409_0007_TW2520
TW2520,V_C001_20260409_070000,VH20260409_0006_TW2520
TW2520,V_C001_20260409_070000,VH20260409_0002_TW2520
TW2520,V_C002_20260409_070000,P20260409_0004_TW2520
TW2520,V_C002_20260409_070000,P20260409_0033_TW2520
TW2520,V_C002_20260409_070000,P20260409_0048_TW2520
TW2520,V_C002_20260409_070000,P20260409_0009_TW2520
TW2520,V_C002_20260409_070000,P20260409_0038_TW2520
TW2520,V_C002_20260409_070000,P20260409_0030_TW2520
TW2520,V_C002_20260409_070000,P20260409_0017_TW2520
TW2520,V_C002_20260409_070000,P20260409_0020_TW2520
TW2520,V_C002_20260409_070000,P20260409_0041_TW2520
TW2520,V_C002_20260409_070000,P20260409_0034_TW2520
TW2520,V_C002_20260409_070000,P20260409_0040_TW2520
TW2520,V_C002_20260409_070000,P20260409_0037_TW2520
TW2520,V_C002_20260409_070000,P20260409_0005_TW2520
TW2520,V_C002_20260409_070000,P20260409_0036_TW2520
TW2520,V_C002_20260409_070000,P20260409_0045_TW2520
TW2520,V_C002_20260409_070000,P20260409_0012_TW2520
TW2520,V_C002_20260409_070000,P20260409_0026_TW2520
TW2520,V_C002_20260409_070000,P20260409_0011_TW2520
TW2520,V_C002_20260409_070000,P20260409_0002_TW2520
TW2520,V_C002_20260409_070000,P20260409_0044_TW2520
TW2520,V_C002_20260409_070000,P20260409_0019_TW2520
TW2520,V_C002_20260409_070000,P20260409_0021_TW2520
TW2520,V_C002_20260409_070000,P20260409_0010_TW2520
TW2520,V_C002_20260409_070000,P20260409_0027_TW2520
TW2520,V_C002_20260409_070000,T20260409_0004_TW2520
TW2520,V_C002_20260409_070000,T20260409_0007_TW2520
TW2520,V_C002_20260409_070000,T20260409_0018_TW2520
TW2520,V_C002_20260409_070000,T20260409_0005_TW2520
TW2520,V_C002_20260409_070000,T20260409_0002_TW2520
TW2520,V_C002_20260409_070000,VH20260409_0011_TW2520
TW2520,V_C002_20260409_070000,VH20260409_0005_TW2520
TW2520,V_C003_20260409_070000,P20260409_0032_TW2520
TW2520,V_C003_20260409_070000,P20260409_0035_TW2520
TW2520,V_C003_20260409_070000,P20260409_0018_TW2520
TW2520,V_C003_20260409_070000,P20260409_0028_TW2520
TW2520,V_C003_20260409_070000,P20260409_0003_TW2520
TW2520,V_C003_20260409_070000,VH20260409_0009_TW2520
TW2520,V_C003_20260409_070000,VH20260409_0004_TW2520
TW2520,V_C007_20260409_070000,VH20260409_0010_TW2520
TW2520,V_C008_20260409_070000,VH20260409_0001_TW2520
TW2520,V_C008_20260409_070000,VH20260409_0008_TW2520
TW2521,V_C001_20260409_070000,P20260409_0014_TW2521
TW2521,V_C001_20260409_070000,P20260409_0006_TW2521
TW2521,V_C001_20260409_070000,P20260409_0022_TW2521
