pid_tw,id_global,date,tw_id,partition_id,shirt_color,pant_color,pose_state
P20260409_0047_TW2520,P20260409_0047,2026-04-09,TW2520,1,Blue,Black,Standing
P20260409_0023_TW2520,P20260409_0023,2026-04-09,TW2520,1,Green,Blue,Running
P20260409_0024_TW2520,P20260409_0024,2026-04-09,TW2520,1,Blue,Gray,Sitting
P20260409_0006_TW2520,P20260409_0006,2026-04-09,TW2520,1,Blue,Brown,Walking
P20260409_0015_TW2520,P20260409_0015,2026-04-09,TW2520,1,Blue,Gray,Sitting
P20260409_0007_TW2520,P20260409_0007,2026-04-09,TW2520,1,Blue,Black,Sitting
P20260409_0046_TW2520,P20260409_0046,2026-04-09,TW2520,1,Green,Brown,Sitting
P20260409_0031_TW2520,P20260409_0031,2026-04-09,TW2520,1,Yellow,Blue,Sitting
P20260409_0013_TW2520,P20260409_0013,2026-04-09,TW2520,1,Red,Gray,Standing
P20260409_0022_TW2520,P20260409_0022,2026-04-09,TW2520,1,Gray,Brown,Walking
P20260409_0014_TW2520,P20260409_0014,2026-04-09,TW2520,1,Gray,Brown,Sitting
P20260409_0043_TW2520,P20260409_0043,2026-04-09,TW2520,1,White,White,Sitting
P20260409_0001_TW2520,P20260409_0001,2026-04-09,TW2520,1,Black,Black,Walking
P20260409_0039_TW2520,P20260409_0039,2026-04-09,TW2520,1,Green,Blue,Sitting
P20260409_0049_TW2520,P20260409_0049,2026-04-09,TW2520,1,White,Black,Running
P20260409_0050_TW2520,P20260409_0050,2026-04-09,TW2520,1,Black,Gray,Standing
P20260409_0008_TW2520,P20260409_0008,2026-04-09,TW2520,1,White,White,Sitting
P20260409_0025_TW2520,P20260409_0025,2026-04-09,TW2520,1,Gray,Gray,Standing
P20260409_0042_TW2520,P20260409_0042,2026-04-09,TW2520,1,Yellow,White,Walking
P20260409_0016_TW2520,P20260409_0016,2026-04-09,TW2520,1,Red,White,Sitting
P20260409_0029_TW2520,P20260409_0029,2026-04-09,TW2520,1,Brown,White,Running
P20260409_0004_TW2520,P20260409_0004,2026-04-09,TW2520,1,Blue,Gray,Running
P20260409_0033_TW2520,P20260409_0033,2026-04-09,TW2520,1,White,Black,Sitting
P20260409_0048_TW2520,P20260409_0048,2026-04-09,TW2520,1,Green,Black,Standing
P20260409_0009_TW2520,P20260409_0009,2026-04-09,TW2520,1,Brown,White,Running
P20260409_0038_TW2520,P20260409_0038,2026-04-09,TW2520,1,Black,Black,Sitting
P20260409_0030_TW2520,P20260409_0030,2026-04-09,TW2520,1,Gray,Blue,Sitting
P20260409_0017_TW2520,P20260409_0017,2026-04-09,TW2520,1,Green,Brown,Sitting
P20260409_0020_TW2520,P20260409_0020,2026-04-09,TW2520,1,Red,Brown,Running
P20260409_0041_TW2520,P20260409_0041,2026-04-09,TW2520,1,Black,Blue,Running
P20260409_0034_TW2520,P20260409_0034,2026-04-09,TW2520,1,Brown,Brown,Sitting
P20260409_0040_TW2520,P20260409_0040,2026-04-09,TW2520,1,Green,White,Running
P20260409_0037_TW2520,P20260409_0037,2026-04-09,TW2520,1,Red,Brown,Sitting
P20260409_0005_TW2520,P20260409_0005,2026-04-09,TW2520,1,Brown,Brown,Sitting
P20260409_0036_TW2520,P20260409_0036,2026-04-09,TW2520,1,Black,Blue,Walking
P20260409_0045_TW2520,P20260409_0045,2026-04-09,TW2520,1,Blue,Black,Walking
P20260409_0012_TW2520,P20260409_0012,2026-04-09,TW2520,1,Brown,Black,Standing
P20260409_0026_TW2520,P20260409_0026,2026-04-09,TW2520,1,Blue,Black,Running
P20260409_0011_TW2520,P20260409_0011,2026-04-09,TW2520,1,Red,White,Walking
P20260409_0002_TW2520,P20260409_0002,2026-04-09,TW2520,1,Red,Brown,Sitting
P20260409_0044_TW2520,P20260409_0044,2026-04-09,TW2520,1,Blue,Gray,Sitting
P20260409_0019_TW2520,P20260409_0019,2026-04-09,TW2520,1,Yellow,Blue,Running
P20260409_0021_TW2520,P20260409_0021,2026-04-09,TW2520,1,Black,White,Sitting
P20260409_0010_TW2520,P20260409_0010,2026-04-09,TW2520,1,Blue,Blue,Standing
P20260409_0027_TW2520,P20260409_0027,2026-04-09,TW2520,1,Yellow,Gray,Standing
P20260409_0032_TW2520,P20260409_0032,2026-04-09,TW2520,2,Green,Blue,Walking
P20260409_0035_TW2520,P20260409_0035,2026-04-09,TW2520,2,Red,Brown,Walking
P20260409_0018_TW2520,P20260409_0018,2026-04-09,TW2520,2,Brown,Black,Standing
P20260409_0028_TW2520,P20260409_0028,2026-04-09,TW2520,2,Yellow,Blue,Walking
P20260409_0003_TW2520,P20260409_0003,2026-04-09,TW2520,2,Green,Gray,Running
P20260409_0014_TW2521,P20260409_0014,2026-04-09,TW2521,1,Gray,Brown,Running
P20260409_0006_TW2521,P20260409_0006,2026-04-09,TW2521,1,Blue,Brown,Standing
P20260409_0022_TW2521,P20260409_0022,2026-04-09,TW2521,1,Gray,Brown,Sitting
P20260409_0008_TW2521,P20260409_0008,2026-04-09,TW2521,1,White,White,Walking
P20260409_0050_TW2521,P20260409_0050,2026-04-09,TW2521,1,Black,Gray,Standing
P20260409_0027_TW2521,P20260409_0027,2026-04-09,TW2521,1,Yellow,Gray,Sitting
P20260409_0017_TW2521,P20260409_0017,2026-04-09,TW2521,1,Green,Brown,Sitting
P20260409_0047_TW2521,P20260409_0047,2026-04-09,TW2521,1,Blue,Black,Sitting
P20260409_0041_TW2521,P20260409_0041,2026-04-09,TW2521,1,Black,Blue,Standing
P20260409_0007_TW2521,P20260409_0007,2026-04-09,TW2521,1,Blue,Black,Standing
P20260409_0013_TW2521,P20260409_0013,2026-04-09,TW2521,1,Red,Gray,Sitting
P20260409_0032_TW2521,P20260409_0032,2026-04-09,TW2521,1,Green,Blue,Sitting
P20260409_0023_TW2521,P20260409_0023,2026-04-09,TW2521,1,Green,Blue,Running
P20260409_0033_TW2521,P20260409_0033,2026-04-09,TW2521,1,White,Black,Sitting
P20260409_0024_TW2521,P20260409_0024,2026-04-09,TW2521,1,Blue,Gray,Walking
P20260409_0025_TW2521,P20260409_0025,2026-04-09,TW2521,1,Gray,Gray,Running
P20260409_0043_TW2521,P20260409_0043,2026-04-09,TW2521,1,White,White,Standing
P20260409_0004_TW2521,P20260409_0004,2026-04-09,TW2521,1,Blue,Gray,Running
P20260409_0048_TW2521,P20260409_0048,2026-04-09,TW2521,1,Green,Black,Standing
P20260409_0030_TW2521,P20260409_0030,2026-04-09,TW2521,1,Gray,Blue,Walking
P20260409_0042_TW2521,P20260409_0042,2026-04-09,TW2521,1,Yellow,White,Walking
P20260409_0035_TW2521,P20260409_0035,2026-04-09,TW2521,1,Red,Brown,Running
P20260409_0015_TW2521,P20260409_0015,2026-04-09,TW2521,1,Blue,Gray,Sitting
P20260409_0018_TW2521,P20260409_0018,2026-04-09,TW2521,1,Brown,Black,Walking
P20260409_0040_TW2521,P20260409_0040,2026-04-09,TW2521,1,Green,White,Running
P20260409_0005_TW2521,P20260409_0005,2026-04-09,TW2521,1,Brown,Brown,Standing
P20260409_0010_TW2521,P20260409_0010,2026-04-09,TW2521,1,Blue,Blue,Running
P20260409_0038_TW2521,P20260409_0038,2026-04-09,TW2521,1,Black,Black,Walking
P20260409_0026_TW2521,P20260409_0026,2026-04-09,TW2521,1,Blue,Black,Walking
P20260409_0044_TW2521,P20260409_0044,2026-04-09,TW2521,1,Blue,Gray,Walking
P20260409_0009_TW2521,P20260409_0009,2026-04-09,TW2521,1,Brown,White,Sitting
P20260409_0028_TW2521,P20260409_0028,2026-04-09,TW2521,1,Yellow,Blue,Running
P20260409_0029_TW2521,P20260409_0029,2026-04-09,TW2521,1,Brown,White,Sitting
P20260409_0049_TW2521,P20260409_0049,2026-04-09,TW2521,1,White,Black,Walking
P20260409_0031_TW2521,P20260409_0031,2026-04-09,TW2521,1,Yellow,Blue,Standing
P20260409_0036_TW2521,P20260409_0036,2026-04-09,TW2521,1,Black,Blue,Standing
P20260409_0016_TW2521,P20260409_0016,2026-04-09,TW2521,1,Red,White,Sitting
P20260409_0045_TW2521,P20260409_0045,2026-04-09,TW2521,1,Blue,Black,Walking
P20260409_0002_TW2521,P20260409_0002,2026-04-09,TW2521,1,Red,Brown,Standing
P20260409_0034_TW2521,P20260409_0034,2026-04-09,TW2521,1,Brown,Brown,Walking
