tid_tw,id_global,date,tw_id,partition_id,thing_type,size_category,base_color,state
T20260409_0013_TW2520,T20260409_0013,2026-04-09,TW2520,1,Backpack,Small,Brown,Carried
T20260409_0015_TW2520,T20260409_0015,2026-04-09,TW2520,1,Handbag,Small,Black,Carried
T20260409_0020_TW2520,T20260409_0020,2026-04-09,TW2520,1,Bag,Small,White,Stationary
T20260409_0003_TW2520,T20260409_0003,2026-04-09,TW2520,1,Backpack,Large,Brown,Stationary
T20260409_0006_TW2520,T20260409_0006,2026-04-09,TW2520,1,Handbag,Medium,Blue,Stationary
T20260409_0017_TW2520,T20260409_0017,2026-04-09,TW2520,1,Bag,Small,Black,Carried
T20260409_0019_TW2520,T20260409_0019,2026-04-09,TW2520,1,Backpack,Medium,Black,Carried
T20260409_0001_TW2520,T20260409_0001,2026-04-09,TW2520,1,Box,Medium,Green,Carried
T20260409_0014_TW2520,T20260409_0014,2026-04-09,TW2520,1,Handbag,Large,Red,Stationary
T20260409_0010_TW2520,T20260409_0010,2026-04-09,TW2520,1,Suitcase,Medium,Black,Carried
T20260409_0008_TW2520,T20260409_0008,2026-04-09,TW2520,1,Backpack,Medium,Black,Carried
T20260409_0012_TW2520,T20260409_0012,2026-04-09,TW2520,1,Handbag,Large,Green,Carried
T20260409_0011_TW2520,T20260409_0011,2026-04-09,TW2520,1,Suitcase,Medium,Blue,Carried
T20260409_0016_TW2520,T20260409_0016,2026-04-09,TW2520,1,Bag,Medium,Red,Carried
T20260409_0009_TW2520,T20260409_0009,2026-04-09,TW2520,1,Backpack,Small,Black,Stationary
T20260409_0004_TW2520,T20260409_0004,2026-04-09,TW2520,1,Box,Medium,Green,Stationary
T20260409_0007_TW2520,T20260409_0007,2026-04-09,TW2520,1,Backpack,Small,Blue,Carried
T20260409_0018_TW2520,T20260409_0018,2026-04-09,TW2520,1,Backpack,Large,Gray,Stationary
T20260409_0005_TW2520,T20260409_0005,2026-04-09,TW2520,1,Backpack,Medium,Black,Stationary
T20260409_0002_TW2520,T20260409_0002,2026-04-09,TW2520,1,Box,Medium,White,Stationary
T20260409_0013_TW2521,T20260409_0013,2026-04-09,TW2521,1,Backpack,Small,Brown,Carried
T20260409_0007_TW2521,T20260409_0007,2026-04-09,TW2521,1,Backpack,Small,Blue,Carried
T20260409_0001_TW2521,T20260409_0001,2026-04-09,TW2521,1,Box,Medium,Green,Stationary
T20260409_0014_TW2521,T20260409_0014,2026-04-09,TW2521,1,Handbag,Large,Red,Carried
T20260409_0006_TW2521,T20260409_0006,2026-04-09,TW2521,1,Handbag,Medium,Blue,Stationary
T20260409_0019_TW2521,T20260409_0019,2026-04-09,TW2521,1,Backpack,Medium,Black,Carried
T20260409_0002_TW2521,T20260409_0002,2026-04-09,TW2521,1,Box,Medium,White,Carried
T20260409_0017_TW2521,T20260409_0017,2026-04-09,TW2521,1,Bag,Small,Black,Carried
T20260409_0015_TW2521,T20260409_0015,2026-04-09,TW2521,1,Handbag,Small,Black,Carried
T20260409_0010_TW2521,T20260409_0010,2026-04-09,TW2521,1,Suitcase,Medium,Black,Carried
T20260409_0016_TW2521,T20260409_0016,2026-04-09,TW2521,1,Bag,Medium,Red,Carried
T20260409_0008_TW2521,T20260409_0008,2026-04-09,TW2521,1,Backpack,Medium,Black,Stationary
T20260409_0003_TW2521,T20260409_0003,2026-04-09,TW2521,1,Backpack,Large,Brown,Carried
T20260409_0020_TW2521,T20260409_0020,2026-04-09,TW2521,1,Bag,Small,White,Carried
T20260409_0018_TW2521,T20260409_0018,2026-04-09,TW2521,1,Backpack,Large,Gray,Stationary
T20260409_0011_TW2521,T20260409_0011,2026-04-09,TW2521,1,Suitcase,Medium,Blue,Carried
T20260409_0012_TW2521,T20260409_0012,2026-04-09,TW2521,1,Handbag,Large,Green,Carried
T20260409_0009_TW2521,T20260409_0009,2026-04-09,TW2521,1,Backpack,Small,Black,Stationary
T20260409_0004_TW2521,T20260409_0004,2026-04-09,TW2521,1,Box,Medium,Green,Stationary
T20260409_0005_TW2521,T20260409_0005,2026-04-09,TW2521,1,Backpack,Medium,Black,Carried
T20260409_0005_TW2522,T20260409_0005,2026-04-09,TW2522,1,Backpack,Medium,Black,Stationary
T20260409_0016_TW2522,T20260409_0016,2026-04-09,TW2522,1,Bag,Medium,Red,Stationary
T20260409_0001_TW2522,T20260409_0001,2026-04-09,TW2522,1,Box,Medium,Green,Stationary
T20260409_0009_TW2522,T20260409_0009,2026-04-09,TW2522,1,Backpack,Small,Black,Stationary
T20260409_0008_TW2522,T20260409_0008,2026-04-09,TW2522,1,Backpack,Medium,Black,Carried
T20260409_0019_TW2522,T20260409_0019,2026-04-09,TW2522,1,Backpack,Medium,Black,Stationary
T20260409_0012_TW2522,T20260409_0012,2026-04-09,TW2522,1,Handbag,Large,Green,Stationary
T20260409_0014_TW2522,T20260409_0014,2026-04-09,TW2522,1,Handbag,Large,Red,Stationary
T20260409_0003_TW2522,T20260409_0003,2026-04-09,TW2522,1,Backpack,Large,Brown,Stationary
T20260409_0018_TW2522,T20260409_0018,2026-04-09,TW2522,1,Backpack,Large,Gray,Carried
T20260409_0006_TW2522,T20260409_0006,2026-04-09,TW2522,1,Handbag,Medium,Blue,Carried
T20260409_0013_TW2522,T20260409_0013,2026-04-09,TW2522,1,Backpack,Small,Brown,Carried
T20260409_0002_TW2522,T20260409_0002,2026-04-09,TW2522,1,Box,Medium,White,Carried
T20260409_0011_TW2522,T20260409_0011,2026-04-09,TW2522,1,Suitcase,Medium,Blue,Stationary
T20260409_0020_TW2522,T20260409_0020,2026-04-09,TW2522,1,Bag,Small,White,Carried
T20260409_0015_TW2522,T20260409_0015,2026-04-09,TW2522,1,Handbag,Small,Black,Stationary
T20260409_0010_TW2522,T20260409_0010,2026-04-09,TW2522,1,Suitcase,Medium,Black,Carried
T20260409_0017_TW2522,T20260409_0017,2026-04-09,TW2522,2,Bag,Small,Black,Stationary
T20260409_0007_TW2522,T20260409_0007,2026-04-09,TW2522,2,Backpack,Small,Blue,Stationary
T20260409_0004_TW2522,T20260409_0004,2026-04-09,TW2522,2,Box,Medium,Green,Stationary
T20260409_0012_TW2523,T20260409_0012,2026-04-09,TW2523,1,Handbag,Large,Green,Stationary
T20260409_0004_TW2523,T20260409_0004,2026-04-09,TW2523,1,Box,Medium,Green,Carried
T20260409_0011_TW2523,T20260409_0011,2026-04-09,TW2523,1,Suitcase,Medium,Blue,Carried
T20260409_0013_TW2523,T20260409_0013,2026-04-09,TW2523,1,Backpack,Small,Brown,Stationary
T20260409_0018_TW2523,T20260409_0018,2026-04-09,TW2523,1,Backpack,Large,Gray,Carried
T20260409_0007_TW2523,T20260409_0007,2026-04-09,TW2523,1,Backpack,Small,Blue,Stationary
T20260409_0016_TW2523,T20260409_0016,2026-04-09,TW2523,1,Bag,Medium,Red,Carried
T20260409_0002_TW2523,T20260409_0002,2026-04-09,TW2523,1,Box,Medium,White,Carried
