vid_tw,id_global,date,tw_id,partition_id,vehicle_type,base_color,speed_kmh,direction
VH20260409_0003_TW2520,VH20260409_0003,2026-04-09,TW2520,1,Car,Black,21,S
VH20260409_0007_TW2520,VH20260409_0007,2026-04-09,TW2520,1,Motorbike,Red,3,NW
VH20260409_0006_TW2520,VH20260409_0006,2026-04-09,TW2520,1,Car,Black,45,S
VH20260409_0002_TW2520,VH20260409_0002,2026-04-09,TW2520,1,Car,Black,5,NW
VH20260409_0011_TW2520,VH20260409_0011,2026-04-09,TW2520,1,Truck,Gray,29,NE
VH20260409_0005_TW2520,VH20260409_0005,2026-04-09,TW2520,1,Car,Black,17,SW
VH20260409_0009_TW2520,VH20260409_0009,2026-04-09,TW2520,2,Car,Red,15,E
VH20260409_0004_TW2520,VH20260409_0004,2026-04-09,TW2520,2,Car,Blue,15,SE
VH20260409_0010_TW2520,VH20260409_0010,2026-04-09,TW2520,4,Car,White,38,S
VH20260409_0001_TW2520,VH20260409_0001,2026-04-09,TW2520,4,Motorbike,Gray,13,S
VH20260409_0008_TW2520,VH20260409_0008,2026-04-09,TW2520,4,Motorbike,Black,43,SW
VH20260409_0003_TW2521,VH20260409_0003,2026-04-09,TW2521,1,Car,Black,20,SW
VH20260409_0007_TW2521,VH20260409_0007,2026-04-09,TW2521,1,Motorbike,Red,0,N
VH20260409_0005_TW2521,VH20260409_0005,2026-04-09,TW2521,1,Car,Black,12,S
VH20260409_0008_TW2521,VH20260409_0008,2026-04-09,TW2521,1,Motorbike,Black,40,SW
VH20260409_0009_TW2521,VH20260409_0009,2026-04-09,TW2521,1,Car,Red,19,SE
VH20260409_0006_TW2521,VH20260409_0006,2026-04-09,TW2521,1,Car,Black,49,S
VH20260409_0004_TW2521,VH20260409_0004,2026-04-09,TW2521,4,Car,Blue,17,SE
VH20260409_0010_TW2521,VH20260409_0010,2026-04-09,TW2521,4,Car,White,38,SW
VH20260409_0012_TW2521,VH20260409_0012,2026-04-09,TW2521,4,Car,Black,34,N
VH20260409_0011_TW2521,VH20260409_0011,2026-04-09,TW2521,4,Truck,Gray,34,E
VH20260409_0001_TW2521,VH20260409_0001,2026-04-09,TW2521,4,Motorbike,Gray,18,SE
VH20260409_0002_TW2521,VH20260409_0002,2026-04-09,TW2521,4,Car,Black,5,W
VH20260409_0003_TW2522,VH20260409_0003,2026-04-09,TW2522,1,Car,Black,25,SW
VH20260409_0001_TW2522,VH20260409_0001,2026-04-09,TW2522,1,Motorbike,Gray,18,E
VH20260409_0002_TW2522,VH20260409_0002,2026-04-09,TW2522,1,Car,Black,8,SW
VH20260409_0011_TW2522,VH20260409_0011,2026-04-09,TW2522,1,Truck,Gray,36,E
VH20260409_0005_TW2522,VH20260409_0005,2026-04-09,TW2522,1,Car,Black,9,SE
VH20260409_0007_TW2522,VH20260409_0007,2026-04-09,TW2522,1,Motorbike,Red,0,N
VH20260409_0004_TW2522,VH20260409_0004,2026-04-09,TW2522,4,Car,Blue,19,S
VH20260409_0006_TW2522,VH20260409_0006,2026-04-09,TW2522,4,Car,Black,47,SE
VH20260409_0003_TW2523,VH20260409_0003,2026-04-09,TW2523,1,Car,Black,25,SW
VH20260409_0002_TW2523,VH20260409_0002,2026-04-09,TW2523,1,Car,Black,7,S
VH20260409_0009_TW2523,VH20260409_0009,2026-04-09,TW2523,1,Car,Red,21,S
VH20260409_0001_TW2523,VH20260409_0001,2026-04-09,TW2523,1,Motorbike,Gray,22,SE
VH20260409_0007_TW2523,VH20260409_0007,2026-04-09,TW2523,2,Motorbike,Red,0,N
VH20260409_0004_TW2523,VH20260409_0004,2026-04-09,TW2523,2,Car,Blue,17,SW
VH20260409_0005_TW2523,VH20260409_0005,2026-04-09,TW2523,2,Car,Black,9,S
VH20260409_0006_TW2523,VH20260409_0006,2026-04-09,TW2523,2,Car,Black,48,SE
VH20260409_0012_TW2523,VH20260409_0012,2026-04-09,TW2523,2,Car,Black,45,W
VH20260409_0010_TW2523,VH20260409_0010,2026-04-09,TW2523,2,Car,White,40,S
VH20260409_0008_TW2523,VH20260409_0008,2026-04-09,TW2523,2,Motorbike,Black,40,S
VH20260409_0011_TW2523,VH20260409_0011,2026-04-09,TW2523,4,Truck,Gray,31,NE
VH20260409_0003_TW2524,VH20260409_0003,2026-04-09,TW2524,1,Car,Black,26,W
VH20260409_0005_TW2524,VH20260409_0005,2026-04-09,TW2524,1,Car,Black,14,SE
VH20260409_0012_TW2524,VH20260409_0012,2026-04-09,TW2524,1,Car,Black,45,NW
VH20260409_0001_TW2524,VH20260409_0001,2026-04-09,TW2524,1,Motorbike,Gray,19,SE
VH20260409_0010_TW2524,VH20260409_0010,2026-04-09,TW2524,2,Car,White,35,SE
VH20260409_0002_TW2524,VH20260409_0002,2026-04-09,TW2524,2,Car,Black,4,SW
VH20260409_0008_TW2524,VH20260409_0008,2026-04-09,TW2524,2,Motorbike,Black,59,S
VH20260409_0009_TW2524,VH20260409_0009,2026-04-09,TW2524,2,Car,Red,26,S
VH20260409_0006_TW2524,VH20260409_0006,2026-04-09,TW2524,2,Car,Black,49,S
VH20260409_0004_TW2524,VH20260409_0004,2026-04-09,TW2524,2,Car,Blue,20,S
VH20260409_0011_TW2524,VH20260409_0011,2026-04-09,TW2524,2,Truck,Gray,33,N
VH20260409_0007_TW2524,VH20260409_0007,2026-04-09,TW2524,4,Motorbike,Red,0,NW
VH20260409_0007_TW2525,VH20260409_0007,2026-04-09,TW2525,1,Motorbike,Red,3,N
VH20260409_0002_TW2525,VH20260409_0002,2026-04-09,TW2525,1,Car,Black,2,W
VH20260409_0005_TW2525,VH20260409_0005,2026-04-09,TW2525,1,Car,Black,12,E
VH20260409_0001_TW2525,VH20260409_0001,2026-04-09,TW2525,1,Motorbike,Gray,15,E
VH20260409_0004_TW2525,VH20260409_0004,2026-04-09,TW2525,1,Car,Blue,18,S
VH20260409_0010_TW2525,VH20260409_0010,2026-04-09,TW2525,1,Car,White,35,S
VH20260409_0006_TW2525,VH20260409_0006,2026-04-09,TW2525,1,Car,Black,50,SW
VH20260409_0009_TW2525,VH20260409_0009,2026-04-09,TW2525,2,Car,Red,21,S
VH20260409_0012_TW2525,VH20260409_0012,2026-04-09,TW2525,2,Car,Black,45,NW
VH20260409_0008_TW2525,VH20260409_0008,2026-04-09,TW2525,2,Motorbike,Black,8,W
VH20260409_0003_TW2525,VH20260409_0003,2026-04-09,TW2525,2,Car,Black,26,W
